year,total_count,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_7+,average
2025,"134,790","39,741","46,462","20,160","16,615","7,382","2,894","1,536",2.5
2024,"132,216","38,455","45,738","19,912","16,450","7,363","2,720","1,577",2.51
2023,"131,434","38,097","45,959","19,771","16,038","7,192","2,721","1,656",2.51
2022,"131,202","37,887","45,549","19,814","16,191","7,294","2,820","1,649",2.5
2021,"129,244","36,497","45,152","19,546","16,178","7,610","2,645","1,616",2.54
2021,"129,931","36,972","45,515","19,523","16,098","7,577","2,635","1,611",2.51
2020,"128,451","36,198","44,742","19,337","16,262","7,446","2,919","1,546",2.53
2019,"128,579","36,479","44,373","19,374","16,413","7,429","2,909","1,602",2.52
2018,"127,586","35,740","44,038","19,333","16,468","7,442","2,851","1,714",2.53
2017,"126,224","35,252","43,509","19,509","16,212","7,319","2,798","1,624",2.54
2016,"125,819","35,388","42,785","19,423","16,267","7,548","2,813","1,596",2.53
2015,"124,587","34,866","41,881","19,309","16,464","7,517","2,820","1,729",2.54
2014,"123,229","34,185","41,589","19,369","16,244","7,454","2,774","1,614",2.54
2013,"122,459","33,570","41,503","19,283","16,361","7,425","2,735","1,581",2.54
2012,"121,084","33,188","40,983","19,241","16,049","7,271","2,734","1,617",2.55
2011,"119,927","33,020","40,136","18,717","16,049","7,448","2,820","1,738",2.56
2011,"118,682","32,723","39,718","18,529","15,910","7,346","2,773","1,684",2.58
2010,"117,538","31,399","39,487","18,638","16,122","7,367","2,784","1,740",2.59
2009,"117,181","31,657","39,242","18,606","16,099","7,406","2,640","1,529",2.57
2008,"116,783","32,167","38,737","18,522","15,865","7,332","2,694","1,467",2.56
2007,"116,011","31,132","38,580","18,808","16,172","7,202","2,702","1,415",2.56
2006,"114,384","30,453","37,775","18,924","15,998","7,306","2,562","1,366",2.57
2005,"113,343","30,137","37,446","18,285","16,382","7,166","2,497","1,430",2.57
2004,"112,000","29,586","37,366","17,968","16,066","7,150","2,476","1,388",2.57
2003,"111,278","29,431","37,078","17,889","15,967","7,029","2,521","1,364",2.57
2002,"109,297","28,775","36,240","17,742","15,794","6,948","2,438","1,360",2.58
2001,"108,209","28,207","35,917","17,444","15,692","6,978","2,555","1,415",2.58
2000,"104,705","26,724","34,666","17,172","15,309","6,981","2,445","1,428",2.62
1999,"103,874","26,606","34,262","17,386","15,030","6,962","2,367","1,261",2.61
1998,"102,528","26,327","32,965","17,331","15,358","7,048","2,232","1,267",2.62
1997,"101,018","25,402","32,736","17,065","15,396","6,774","2,311","1,334",2.64
1996,"99,627","24,900","32,526","16,724","15,118","6,631","2,357","1,372",2.65
1995,"98,990","24,732","31,834","16,827","15,321","6,616","2,279","1,382",2.65
1994,"97,107","23,611","31,211","16,898","15,073","6,749","2,186","1,379",2.67
1993,"96,426","23,558","31,041","16,964","14,997","6,404","2,217","1,244",2.66
1993,"96,391","23,642","31,175","16,895","14,926","6,357","2,180","1,215",2.63
1992,"95,669","23,974","30,734","16,398","14,710","6,389","2,126","1,338",2.62
1991,"94,312","23,590","30,181","16,082","14,556","6,206","2,237","1,459",2.63
1990,"93,347","22,999","30,114","16,128","14,456","6,213","2,143","1,295",2.63
1989,"92,830","22,708","29,976","16,276","14,550","6,232","2,003","1,084",2.62
1988,"91,066","21,889","29,295","16,163","14,143","6,081","2,176","1,320",2.64
1987,"89,479","21,128","28,602","16,159","13,984","6,162","2,176","1,268",2.66
1986,"88,458","21,178","27,732","16,088","13,774","6,276","2,138","1,272",2.67
1985,"86,789","20,602","27,389","15,465","13,631","6,108","2,299","1,296",2.69
1984,"85,407","19,954","26,890","15,134","13,593","6,070","2,372","1,394",2.71
1983,"83,918","19,250","26,439","14,793","13,303","6,105","2,460","1,568",2.73
1982,"83,527","19,354","26,486","14,617","12,868","6,103","2,480","1,619",2.72
1981,"82,368","18,936","25,787","14,569","12,768","6,117","2,549","1,643",2.73
1980,"80,776","18,296","25,327","14,130","12,666","6,059","2,519","1,778",2.76
1979,"77,330","17,201","23,928","13,392","12,274","6,187","2,573","1,774",2.78
1978,"76,030","16,715","23,334","13,040","11,955","6,356","2,723","1,906",2.81
1977,"74,142","15,532","22,775","12,794","11,630","6,285","2,864","2,263",2.86
1976,"72,867","14,983","22,321","12,520","11,407","6,268","3,001","2,367",2.89
1975,"71,120","13,939","21,753","12,384","11,103","6,399","3,059","2,484",2.94
1974,"69,859","13,368","21,495","11,913","10,900","6,469","3,063","2,651",2.97
1973,"68,251","12,635","20,632","11,804","10,739","6,426","3,245","2,769",3.01
1972,"66,676","12,189","19,482","11,542","10,679","6,431","3,374","2,979",3.06
1971,"64,778","11,446","18,892","11,071","10,059","6,640","3,435","3,234",3.11
1970,"63,401","10,851","18,333","10,949","9,991","6,548","3,534","3,195",3.14
1969,"62,214","10,401","18,034","10,769","9,778","6,387","3,557","3,288",3.19
1968,"60,813","9,802","17,377","10,577","9,623","6,319","3,627","3,488",3.23
1967,"59,236","9,200","16,770","10,403","9,559","6,276","3,491","3,550",3.28
1966,"58,406","9,093","16,679","9,993","9,465","6,257","3,465","3,465",3.3
1965,"57,436","8,631","16,119","10,263","9,269","6,313","3,327","3,514",3.31
1964,"56,149","7,821","15,622","10,034","9,565","6,328","3,373","3,405",3.33
1963,"55,270","7,501","15,279","9,989","9,445","6,240","3,473","3,342",3.33
1962,"54,764","7,473","15,461","10,077","9,347","6,016","3,368","3,022",3.31
1961,"53,557","7,112","15,185","9,780","9,390","6,052","3,085","2,953",3.36
1960,"52,799","6,917","14,678","9,979","9,293","6,072","3,010","2,851",3.33
